Train Station
16 190
46 190
76 190
106 190
136 190
166 190
196 190
16 220
Jail
277 147
307 147
337 147
367 147
397 147
277 177
307 177
337 177
General Store
335 402
365 402
395 402
425 402
455 402
485 402
515 402
545 402
Main Street
934 148
964 148
994 148
1024 148
1054 148
1084 148
1114 148
1144 148
Saloon
627 401
657 401
687 401
717 401
747 401
777 401
807 401
837 401
867 401
Ranch
247 597
277 597
307 597
337 597
367 597
307 627
337 627
367 627
Secret Hideout
21 852
51 852
81 852
111 852
141 852
171 852
201 852
231 852
Bank
618 595
648 595
678 595
708 595
738 595
768 595
798 595
828 595
Church
618 855
648 855
678 855
708 855
738 855
768 855
798 855
828 855
Hotel
964 861
994 861
1024 861
1054 861
1084 861
1114 861
1144 861
1124 640
Trailers
1037 280
1067 280
1097 280
1127 280
1037 310
1067 310
1097 310
1127 310
Casting Office
25 470
55 470
85 470
115 470
25 500
55 500
85 500
115 500
